2026-05-04 12:13:24,973 | INFO | Worker escuchando eventos...
2026-05-04 12:13:28,523 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('61a1ed91-6221-4bec-a268-34184c618418'), 'dispositivo_id': 'LPZ_TELEFERICO_ROJO', 'zona': 'EL_ALTO', 'consumo': 769.17, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 28, 522666), 'fecha': '2026-05-04'}
2026-05-04 12:13:28,767 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('f859f223-7ea7-4c57-a114-e2db52f82303'), 'dispositivo_id': 'LPZ_TELEFERICO_AMARILLO', 'zona': 'EL_ALTO', 'consumo': 215.89, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 28, 767297), 'fecha': '2026-05-04'}
2026-05-04 12:13:28,841 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('9ce9d92a-43ef-408f-aa6f-799eb939f96c'), 'dispositivo_id': 'LPZ_AEROPUERTO', 'zona': 'EL_ALTO', 'consumo': 261.65, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 28, 841257), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,006 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('0748ab56-4971-4239-8fbe-b4147e3d388b'), 'dispositivo_id': 'LPZ_MEGACENTER', 'zona': 'ZONA_SUR', 'consumo': 140.53, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 6015), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,213 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('3e381ec8-db76-4f8e-88d8-6ae32f921ac5'), 'dispositivo_id': 'LPZ_HOSPITAL_OBRERO', 'zona': 'MIRAFLORES', 'consumo': 109.96, 'severidad': 'MEDIA', 'recomendacion': 'Monitorear comportamiento', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 213949), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,458 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('1ca5459d-97dc-46e8-837a-bd8003a2d818'), 'dispositivo_id': 'LPZ_CLINICA', 'zona': 'MIRAFLORES', 'consumo': 181.06, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 458607), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,515 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('3dc3a9bb-b527-4b60-ab18-6e2f487cc2bf'), 'dispositivo_id': 'LPZ_TELEFERICO_ROJO', 'zona': 'EL_ALTO', 'consumo': 130.77, 'severidad': 'ALTA', 'recomendacion': 'Reducir consumo urgentemente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 515053), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,542 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('63d314fc-f96e-4309-b9e8-62d29c2ce113'), 'dispositivo_id': 'LPZ_TELEFERICO_AMARILLO', 'zona': 'EL_ALTO', 'consumo': 134.37, 'severidad': 'ALTA', 'recomendacion': 'Reducir consumo urgentemente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 542780), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,568 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('8b012cc5-550a-4f71-88d9-000ea8352f31'), 'dispositivo_id': 'LPZ_AEROPUERTO', 'zona': 'EL_ALTO', 'consumo': 145.36, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 568723), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,708 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('7d8d1d70-b9d1-4b0f-b1eb-d47ce5d3d0ca'), 'dispositivo_id': 'LPZ_MEGACENTER', 'zona': 'ZONA_SUR', 'consumo': 119.52, 'severidad': 'MEDIA', 'recomendacion': 'Monitorear comportamiento', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 708684), 'fecha': '2026-05-04'}
2026-05-04 12:13:29,882 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('403bc30e-cf26-4e51-a90e-dfd7d13050f1'), 'dispositivo_id': 'LPZ_HOSPITAL_OBRERO', 'zona': 'MIRAFLORES', 'consumo': 100.63, 'severidad': 'MEDIA', 'recomendacion': 'Monitorear comportamiento', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 29, 882134), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,037 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('c27efb76-982f-4270-985b-896938fba6bb'), 'dispositivo_id': 'LPZ_UMSA_AULA_2', 'zona': 'CENTRO', 'consumo': 333.97, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 37119), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,106 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('20fbd7a1-46d3-4a8e-a530-2d0659cdda5b'), 'dispositivo_id': 'LPZ_CLINICA', 'zona': 'MIRAFLORES', 'consumo': 123.89, 'severidad': 'ALTA', 'recomendacion': 'Reducir consumo urgentemente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 106739), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,145 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('61ae7c98-3b74-414e-ade3-272e433ad7eb'), 'dispositivo_id': 'LPZ_SUPERMERCADO', 'zona': 'ZONA_SUR', 'consumo': 111.49, 'severidad': 'MEDIA', 'recomendacion': 'Monitorear comportamiento', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 145944), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,171 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('cd58d48e-fbb0-42ea-bc7e-23048ca53eb7'), 'dispositivo_id': 'LPZ_TELEFERICO_ROJO', 'zona': 'EL_ALTO', 'consumo': 200.65, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 170781), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,192 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('0a479033-05d1-495d-bf90-1585a2e3d009'), 'dispositivo_id': 'LPZ_TELEFERICO_AMARILLO', 'zona': 'EL_ALTO', 'consumo': 156.06, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 192838), 'fecha': '2026-05-04'}
2026-05-04 12:13:30,220 | WARNING | ALERTA DETECTADA: {'alerta_id': UUID('cdaa35cd-31b7-4e30-8394-e8e86f0c783b'), 'dispositivo_id': 'LPZ_AEROPUERTO', 'zona': 'EL_ALTO', 'consumo': 275.89, 'severidad': 'CRITICA', 'recomendacion': 'Apagar dispositivo inmediatamente', 'timestamp': datetime.datetime(2026, 5, 4, 12, 13, 30, 220288), 'fecha': '2026-05-04'}
